index,AADT_VN,BEGIN_POIN,COUNTY_COD,END_POINT,IRI_VN,IS_IMPROVED,ROUTE_ID,SPEED_LIMI,THROUGH_LA,YEAR_RECOR,curval,geometry_paths,tmiles,tons,value
20,45760,5.5,97,5.6,77,1,IN0000100000,60.0,4,2015,192,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",17,778,292
21,48670,5.5,97,5.6,53,1,IN0000100000,70.0,4,2016,176,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",17,783,311
22,49080,5.5,97,5.6,35,0,IN0000100000,70.0,4,2017,205,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",17,771,314
23,51136,5.5,97,5.6,40,0,IN0000100000,70.0,4,2018,242,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",17,792,323
24,50673,5.5,97,5.6,42,0,IN0000100000,70.0,4,2019,420,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",20,1070,390
25,45043,5.5,97,5.6,42,0,IN0000100000,68.6411149825784,4,2020,240,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",16,816,280
26,50787,5.5,97,5.6,34,0,IN0000100000,65.0,4,2022,566,"[[[-88.31447753199996, 30.500551875000042], [-88.31371947999997, 30.500756504000037], [-88.31287630899999, 30.500994177000052]], [[-88.31448268599996, 30.500557466000032], [-88.31372463399998, 30.500762095000027], [-88.31288146299994, 30.500999769000032], [-88.31372463399998, 30.500762095000027], [-88.31449376899997, 30.500554475000058]]]",17,914,321
27,44290,5.6,97,5.7,62,0,IN0000100000,60.0,4,2013,263,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",15,716,270
28,44750,5.6,97,5.7,62,0,IN0000100000,60.0,4,2014,268,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",16,750,286
29,45760,5.6,97,5.7,66,1,IN0000100000,60.0,4,2015,192,"[[[-88.31287630899999, 30.500994177000052], [-88.31216507999994, 30.501203065000027], [-88.31133448199995, 30.501453733000062], [-88.31129509999994, 30.501466246000064]], [[-88.31131128099997, 30.501468333000048], [-88.31133963599996, 30.501459324000052], [-88.31217023199997, 30.501208656000074], [-88.31288146299994, 30.500999769000032], [-88.31217023199997, 30.501208656000074], [-88.31133963599996, 30.501459324000052], [-88.31130025399995, 30.501471837000054]]]",17,778,292
